2	1	57	80	1	5	5	3	2	3	4	3	3	3	4	4	3	4	3	4	3	4	4	1	4	2	4	4	4	4	4	4	3
4	1	49	110	0	3	2	3	3	3	2	3	3	4	2	2	3	3	3	3	3	3	3	1	3	3	3	4	4	3	3	3	3
6	0	49	80	1	5	5	4	4	4	3	3	4	3	4	4	3	3	4	4	3	3	3	1	3	3	3	3	3	.	.	.	.
8	1	73	40	1	5	5	4	3	3	4	3	3	3	5	5	.	.	.	.	3	3	3	1	4	2	4	4	4	3	4	4	3
10	1	29	50	1	4	4	4	4	4	3	4	4	4	3	4	4	3	4	3	4	4	4	1	4	4	4	4	4	4	4	4	4
13	0	42	60	1	4	4	3	3	3	3	3	2	2	4	4	3	4	4	3	3	3	3	1	4	3	3	4	4	4	4	4	3
14	1	44	50	0	4	4	4	4	4	4	3	4	2	4	4	4	4	4	4	3	2	3	1	4	4	4	4	4	4	4	4	4
17	0	62	100	1	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	4	3	4	4	4	3	4	4	3
19	0	74	.	1	4	4	4	4	4	4	3	4	4	5	5	4	4	4	4	4	4	4	1	4	3	4	4	4	4	4	4	4
26	0	57	65	0	4	4	2	3	2	2	3	3	3	3	3	2	3	3	3	3	3	3	1	4	3	3	4	4	4	4	4	4
32	0	57	100	1	5	5	.	.	.	.	.	.	.	4	5	4	3	3	3	3	3	3	1	3	2	3	2	2	2	2	3	1
39	1	63	70	1	4	4	3	4	4	4	3	3	4	4	4	3	4	4	4	3	3	4	1	3	3	3	3	4	4	4	4	4
43	1	58	225	0	2	3	3	2	2	2	4	3	4	3	4	3	3	2	3	4	4	4	1	4	4	4	4	4	4	4	4	2
52	1	66	85	1	4	4	4	4	4	4	4	4	4	5	5	4	4	4	4	4	4	4	1	5	5	5	5	5	5	5	5	5
55	1	65	150	0	3	3	4	3	3	2	3	3	3	3	3	3	3	3	2	3	3	3	1	.	.	.	1	1	2	.	4	.
57	1	55	200	0	4	4	3	2	2	3	3	2	3	4	4	3	3	2	3	4	3	4	1	4	3	4	4	4	4	4	4	4
60	0	44	100	1	5	5	4	4	4	4	3	3	3	4	5	3	3	3	4	3	3	4	1	4	3	3	3	3	3	3	3	3
63	0	53	.	1	4	5	4	3	3	3	3	3	4	5	5	4	4	4	5	4	4	4	1	3	2	3	3	3	4	3	3	3
67	0	69	.	0	5	5	3	3	3	3	2	2	3	5	5	4	3	3	4	3	3	3	1	3	3	3	3	5	5	5	5	5
68	1	64	190	1	4	4	4	4	4	4	4	3	4	4	5	3	4	4	4	3	4	4	1	3	3	4	4	4	4	4	4	4
73	1	62	75	0	3	4	3	2	2	3	2	1	3	4	4	4	3	2	3	4	3	3	1	3	3	3	3	3	3	3	4	3
74	1	44	60	1	4	4	3	4	3	3	4	3	3	4	4	3	4	4	4	4	3	3	1	4	2	4	4	4	4	4	4	4
77	1	44	110	1	4	4	4	3	3	3	4	4	4	4	4	4	4	4	4	3	3	3	1	3	3	3	3	3	4	4	3	4
88	0	50	170	1	.	.	4	3	3	2	3	4	4	5	5	4	4	4	3	2	3	4	1	5	4	5	5	5	4	4	4	2
91	0	54	.	0	4	4	4	3	4	4	4	3	4	5	5	4	3	3	4	3	2	3	1	4	2	3	3	3	2	3	2	2
92	0	56	100	0	5	5	4	3	4	4	4	4	4	5	5	4	3	4	4	3	4	4	1	3	3	3	3	3	4	4	4	3
93	1	63	40	1	4	5	4	4	4	4	3	3	4	5	5	4	4	4	4	4	4	4	1	4	2	2	4	4	2	3	2	3
94	0	26	100	1	4	5	4	4	4	4	.	3	4	4	4	4	3	4	4	3	3	3	1	3	3	4	4	4	4	4	4	4
95	0	47	180	1	4	4	3	2	2	2	3	3	4	4	4	4	3	4	2	3	3	4	1	2	2	2	4	2	1	1	2	1
97	0	64	90	0	4	5	4	3	3	3	3	3	4	4	5	4	4	4	4	3	4	4	1	3	3	3	5	5	5	5	5	5
106	0	19	50	1	4	4	3	4	3	3	4	3	3	3	4	3	4	3	3	4	3	3	1	4	3	4	3	4	4	4	4	4
108	1	67	65	0	.	.	3	4	4	2	3	4	4	4	3	4	2	3	3	3	3	3	1	2	3	2	3	3	4	4	4	4
110	0	44	130	1	3	4	.	.	.	.	.	.	.	3	4	4	4	4	3	4	4	4	1	3	3	3	4	3	4	3	3	3
112	0	46	90	1	5	5	3	4	4	3	3	3	3	4	4	3	2	2	2	3	3	3	1	2	2	2	3	3	3	3	4	3
114	1	50	30	1	5	5	4	4	4	4	4	4	4	5	5	4	4	4	4	4	4	4	1	5	4	4	5	5	4	5	5	5
116	0	54	50	0	5	5	4	4	3	3	.	.	.	4	4	3	3	3	2	2	3	3	1	3	2	2	2	1	1	2	2	1
118	0	55	70	0	4	4	3	4	2	2	3	4	4	4	4	4	3	3	2	4	4	4	1	.	.	.	.	.	4	4	4	4
124	0	91	10	1	4	5	3	3	4	3	3	3	4	4	5	4	4	4	3	4	4	4	1	4	3	4	4	4	4	4	4	4
125	1	73	45	1	4	4	3	4	4	4	3	3	3	4	4	4	4	4	3	4	4	4	1	3	3	3	4	4	4	3	4	4
127	0	70	30	1	5	5	4	5	5	5	4	2	4	4	4	4	4	4	4	4	4	4	1	3	3	3	4	3	4	4	4	4
137	0	18	20	1	4	4	2	4	2	3	3	3	3	5	5	3	3	3	4	4	4	4	1	3	3	3	3	4	5	5	5	5
139	0	41	90	1	4	5	4	4	4	2	4	4	4	3	4	4	3	3	4	4	4	4	1	5	2	4	4	5	3	4	4	3
146	0	36	70	1	5	5	3	3	2	3	3	3	3	4	1	3	3	3	3	3	3	3	1	4	3	3	3	4	4	4	4	4
167	0	60	80	1	4	4	4	3	3	4	4	4	4	3	4	4	3	3	4	4	4	4	1	3	3	3	3	3	4	4	4	4
179	0	82	55	1	.	.	4	4	4	4	.	.	.	4	4	3	3	3	4	4	4	4	1	4	3	3	3	3	4	4	4	4
180	1	72	65	1	4	4	4	3	3	4	3	3	3	4	4	4	3	3	4	3	3	3	1	3	2	2	4	4	4	4	4	4
182	1	42	55	1	4	4	3	4	4	3	3	3	4	4	4	3	3	3	3	4	4	4	1	3	3	3	3	3	4	4	4	4
185	1	53	130	0	5	5	3	4	4	4	3	3	3	4	5	4	4	3	4	4	4	4	1	3	3	3	3	3	3	3	3	3
189	1	45	110	1	4	4	3	3	3	3	3	3	4	3	4	3	2	2	4	3	3	4	1	3	3	3	4	4	3	4	5	3
190	1	71	50	0	5	5	4	4	4	3	3	4	5	5	5	3	5	5	3	2	3	3	1	5	3	5	5	5	5	5	5	5
192	1	65	150	0	5	5	4	4	4	5	3	4	4	5	5	4	4	4	4	4	4	4	1	.	.	.	.	.	5	5	5	5
199	0	48	250	1	5	5	4	4	4	4	5	4	4	5	5	4	4	4	4	4	4	4	1	5	4	5	5	5	4	4	4	4
202	0	59	20	1	4	4	4	4	4	4	3	3	3	4	4	4	4	4	4	4	4	4	1	3	3	3	3	3	4	4	4	1
207	1	56	30	1	4	4	4	3	4	3	3	3	4	4	3	3	3	3	3	3	4	4	1	4	2	4	4	4	4	4	4	4
208	1	57	80	1	4	4	4	3	3	4	3	3	3	4	4	4	2	2	2	4	3	3	1	2	2	2	3	3	4	4	4	4
216	0	53	35	1	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	4	4	4	1	4	4	5	5	5	4	4	4	4
226	1	56	160	1	5	5	4	2	3	3	4	3	3	5	5	4	4	4	3	4	3	4	1	4	4	3	3	4	5	5	5	3
236	1	67	95	0	5	4	4	.	4	4	4	4	4	5	4	4	3	3	4	3	3	3	1	4	3	3	4	4	5	5	5	5
249	0	40	.	1	5	5	4	3	4	4	3	3	3	4	4	4	3	4	4	3	2	4	1	4	2	3	2	3	2	3	2	2
250	1	32	120	1	5	5	3	3	3	3	3	3	3	5	4	4	3	3	3	3	3	4	1	2	1	2	3	4	3	4	4	4
269	0	30	45	1	.	.	5	4	4	4	3	4	4	5	5	4	3	3	3	4	3	4	1	5	3	3	5	5	5	5	5	5
278	1	56	10	0	4	4	3	3	2	2	2	2	3	3	3	2	3	3	3	2	2	2	1	3	4	4	3	4	4	4	4	4
280	1	50	80	1	3	5	2	2	2	2	1	3	3	3	3	2	1	1	2	2	3	3	1	2	1	1	2	1	1	1	1	1
281	1	45	90	1	4	4	4	3	4	4	4	3	4	4	4	3	4	4	3	4	3	4	1	4	3	3	4	4	3	2	4	2
296	1	.	.	1	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	3	4	4	1	4	4	4	4	4	4	4	4	4
298	1	56	80	1	4	4	3	3	3	4	3	3	3	4	5	3	4	4	4	3	3	3	1	3	3	3	3	3	2	3	2	3
299	0	53	120	1	5	5	4	3	3	4	4	4	4	5	5	4	4	3	4	4	4	4	1	4	3	3	3	4	5	5	5	5
301	0	42	.	1	4	4	2	2	2	2	4	3	3	4	4	3	4	4	2	3	3	4	1	4	4	4	4	4	4	4	4	3
302	0	45	90	1	5	5	4	3	3	3	3	3	4	4	4	3	3	3	3	3	3	3	1	.	.	.	.	.	.	.	.	.
304	1	50	85	0	4	4	4	4	4	3	3	3	3	2	4	4	3	3	3	4	4	4	1	4	4	2	4	.	1	2	4	2
310	1	43	100	1	4	4	3	3	3	3	2	2	3	2	3	3	3	3	3	3	3	3	1	3	2	3	3	3	3	3	3	3
313	1	52	50	1	1	4	2	2	2	2	3	2	2	4	5	4	4	4	4	3	3	3	1	4	3	3	4	3	3	3	4	3
315	1	57	120	1	4	4	2	2	3	2	3	3	3	4	4	2	4	4	2	2	2	3	1	3	3	3	3	3	3	3	4	3
319	0	67	35	0	5	5	4	3	3	4	3	3	3	4	5	4	3	3	4	4	3	3	1	3	3	3	3	4	3	4	5	4
320	0	51	55	1	5	5	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	1	3	2	3	3	2	2	3	2	2
322	0	71	90	1	5	5	4	4	4	3	3	3	3	5	5	4	3	3	4	4	3	4	1	3	3	3	3	4	4	4	4	3
325	0	34	60	1	3	4	3	2	3	3	3	3	4	4	4	3	3	3	3	3	3	4	1	4	4	4	3	4	4	4	4	4
331	0	19	80	1	4	4	3	4	4	3	3	3	3	.	.	3	4	4	3	3	3	3	1	3	3	3	3	3	5	5	5	5
332	1	62	.	1	5	5	5	5	5	3	4	4	4	5	5	4	4	4	5	4	4	4	1	4	3	4	4	4	4	4	4	3
335	1	72	20	1	5	5	4	4	4	4	3	3	3	4	3	1	1	1	2	2	3	3	1	4	1	1	1	4	1	1	5	1
342	1	60	80	0	5	5	4	4	3	5	4	4	4	4	5	4	3	3	4	4	4	3	1	4	2	1	1	1	3	2	1	3
343	0	74	.	1	5	5	2	3	3	3	4	3	4	4	4	2	3	3	2	4	3	3	1	3	2	4	4	4	4	4	4	4
345	0	23	70	0	2	4	2	3	3	3	3	3	3	4	4	3	3	3	4	2	3	2	1	4	4	4	4	4	4	4	4	4
346	0	46	90	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	1	4	2	4	4	4	5	5	4	4
347	0	35	70	1	2	3	3	2	2	4	3	3	4	3	4	2	4	2	2	4	2	4	1	3	2	2	2	4	3	3	4	2
350	0	74	.	0	4	4	4	2	2	4	3	4	3	4	4	4	4	4	4	3	4	4	1	4	2	3	4	2	3	2	2	2
351	1	51	100	0	4	5	4	4	4	4	3	2	3	4	4	4	4	4	4	3	3	3	1	5	3	4	5	5	4	4	4	4
355	0	47	90	1	5	5	3	2	2	2	2	3	2	5	5	3	3	3	3	2	2	2	1	3	1	2	1	3	2	2	4	1
360	0	52	25	1	3	3	4	4	4	3	4	4	4	3	5	3	2	4	4	4	4	4	1	4	3	4	4	4	4	4	4	3
364	1	67	50	1	5	5	3	3	4	4	3	3	3	4	4	3	3	4	3	3	4	4	1	4	4	4	4	4	4	4	4	4
365	0	22	55	0	4	4	3	4	3	3	3	4	4	3	4	4	3	3	3	3	3	3	1	4	3	3	4	4	4	4	4	4
366	0	70	30	0	5	5	4	4	4	4	3	3	4	4	4	4	4	4	4	4	3	4	1	4	2	4	4	4	2	4	2	2
368	0	56	60	1	5	4	4	3	3	4	3	3	3	4	4	3	4	3	4	3	3	4	1	4	3	3	4	4	3	4	4	4
369	1	47	60	1	4	4	3	3	3	4	3	3	4	2	4	3	3	2	3	4	4	5	1	2	2	2	2	4	3	3	4	2
372	1	49	150	1	4	4	.	.	.	.	.	.	.	4	4	4	4	4	3	4	3	3	1	3	4	3	4	4	4	3	4	3
